static,year,month,day,holiday,dense_1,dense_2,target
0,2020,10,23,0,0.0,0.0,0.0
0,2020,10,23,0,0.3916944857068262,0.2611296571378841,0.13056482856894205
0,2020,10,23,0,0.7766829848007282,0.5177886565338188,0.2588943282669094
0,2020,10,23,0,1.1483743201902166,0.765582880126811,0.3827914400634055
0,2020,10,23,0,1.5004049682357796,1.0002699788238532,0.5001349894119266
0,2020,10,23,0,1.8267480051504448,1.2178320034336299,0.6089160017168149
0,2020,10,23,0,2.121816290658745,1.4145441937724965,0.7072720968862483
0,2020,10,23,0,2.3805581223632197,1.5870387482421466,0.7935193741210733
0,2020,10,23,0,2.5985437231724653,1.7323624821149768,0.8661812410574884
0,2020,10,23,0,2.772041081086875,1.84802738739125,0.924013693695625
0,2020,10,23,0,2.8980798429306778,1.932053228620452,0.966026614310226
0,2020,10,23,0,2.9745021681406882,1.9830014454271256,0.9915007227135628
0,2020,10,23,0,2.9999996719719384,1.9999997813146257,0.9999998906573129
0,2020,10,23,0,2.974135825635807,1.9827572170905379,0.9913786085452689
0,2020,10,23,0,2.8973534298701584,1.9315689532467724,0.9657844766233862
0,2020,10,23,0,2.7709670339906003,1.8473113559937335,0.9236556779968668
0,2020,10,23,0,2.597140430212115,1.7314269534747433,0.8657134767373716
0,2020,10,23,0,2.378849608548462,1.5858997390323082,0.7929498695161541
0,2020,10,23,0,2.1198318065182145,1.4132212043454762,0.7066106021727381
0,2020,10,23,0,1.8245215259494696,1.216347683966313,0.6081738419831565
0,2020,10,23,0,1.4979746123044886,0.9986497415363257,0.49932487076816284
0,2020,10,23,0,1.1457816963204996,0.7638544642136664,0.3819272321068332
0,2020,10,23,0,0.7739724798849124,0.5159816532566083,0.25799082662830414
0,2020,10,23,0,0.38891250481402306,0.2592750032093487,0.12963750160467435
0,2020,10,24,0,-0.002805828099649898,-0.0018705520664332653,-0.0009352760332166326
0,2020,10,24,0,-0.3944761239682265,-0.26298408264548434,-0.13149204132274217
0,2020,10,24,0,-0.7793928103197441,-0.5195952068798294,-0.2597976034399147
0,2020,10,24,0,-1.150965939529317,-0.7673106263528781,-0.38365531317643903
0,2020,10,24,0,-1.5028340117006536,-1.001889341133769,-0.5009446705668845
0,2020,10,24,0,-1.8289728864192218,-1.2193152576128146,-0.6096576288064073
0,2020,10,24,0,-2.1237989187586184,-1.415865945839079,-0.7079329729195395
0,2020,10,24,0,-2.3822645538051144,-1.5881763692034097,-0.7940881846017048
0,2020,10,24,0,-2.599944743078912,-1.7332964953859413,-0.8666482476929707
0,2020,10,24,0,-2.7731127033639167,-1.848741802242611,-0.9243709011213055
0,2020,10,24,0,-2.8988037209206348,-1.9325358139470898,-0.9662679069735449
0,2020,10,24,0,-2.974865908725232,-1.9832439391501546,-0.9916219695750773
0,2020,10,24,0,-2.9999970477478763,-1.9999980318319177,-0.9999990159159589
0,2020,10,24,0,-2.9737668815310414,-1.9825112543540278,-0.9912556271770139
0,2020,10,24,0,-2.8966244823745,-1.9310829882496667,-0.9655414941248334
0,2020,10,24,0,-2.769890563014606,-1.8465937086764037,-0.9232968543382019
0,2020,10,24,0,-2.5957348654253796,-1.7304899102835865,-0.8652449551417932
0,2020,10,24,0,-2.3771390138553494,-1.584759342570233,-0.7923796712851165
0,2020,10,24,0,-2.1178454680729364,-1.4118969787152909,-0.7059484893576454
0,2020,10,24,0,-1.8222934507638904,-1.2148623005092603,-0.6074311502546301
